run_id,ts,model_key,gpu,cached_prefix_tokens,recomputed_tokens,rep,ttft_ms,total_ms,gpu_kv_cache_tokens,host_contention,foreign_gpu_count,foreign_max_util,log
20260831-220320-m2-recompute,2026-08-31T22:04:44.776953+08:00,llama-awq,0,0,2048,0,549.881,581.797,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:04:45.719809+08:00,llama-awq,0,0,2048,1,501.53,541.197,120320,HEAVY,3,82,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:04:46.547998+08:00,llama-awq,0,0,2048,2,493.448,534.646,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:04:48.724108+08:00,llama-awq,0,4096,2048,0,599.399,641.536,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:04:49.669638+08:00,llama-awq,0,4096,2048,1,607.741,643.287,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:04:50.630530+08:00,llama-awq,0,4096,2048,2,613.339,656.272,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:04:54.202552+08:00,llama-awq,0,8192,2048,0,733.79,769.265,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:04:55.245461+08:00,llama-awq,0,8192,2048,1,723.633,751.732,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:04:56.319414+08:00,llama-awq,0,8192,2048,2,727.189,761.992,120320,HEAVY,3,97,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:05:03.081600+08:00,llama-awq,0,16384,2048,0,960.095,996.029,120320,HEAVY,3,99,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:05:04.336075+08:00,llama-awq,0,16384,2048,1,925.579,958.398,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:05:05.611258+08:00,llama-awq,0,16384,2048,2,922.712,969.339,120320,HEAVY,3,91,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:05:16.469263+08:00,llama-awq,0,24576,2048,0,1166.566,1214.674,120320,HEAVY,3,98,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:05:17.973879+08:00,llama-awq,0,24576,2048,1,1185.063,1213.083,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:05:19.479565+08:00,llama-awq,0,24576,2048,2,1165.759,1193.685,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:05:46.262252+08:00,llama-awq,0,49152,2048,0,1788.005,1842.37,120320,HEAVY,3,98,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:05:48.375306+08:00,llama-awq,0,49152,2048,1,1795.775,1826.186,120320,HEAVY,3,95,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:05:50.480019+08:00,llama-awq,0,49152,2048,2,1800.117,1809.539,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:06:48.132007+08:00,llama-awq,0,81920,2048,0,2839.481,2841.16,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:06:51.150134+08:00,llama-awq,0,81920,2048,1,2660.81,2703.113,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:06:54.146623+08:00,llama-awq,0,81920,2048,2,2679.497,2695.654,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:08:33.124984+08:00,llama-awq,0,114688,2048,0,3552.497,3557.559,120320,HEAVY,3,96,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:08:36.988600+08:00,llama-awq,0,114688,2048,1,3567.451,3569.541,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
20260831-220320-m2-recompute,2026-08-31T22:08:40.807002+08:00,llama-awq,0,114688,2048,2,3506.832,3508.684,120320,HEAVY,3,100,/ssd7/hungwei/paper-hkv/runs/20260831-220320-m2-recompute/server.log
