run_id,ts,model_key,tier,gpu,ctx,n_prefixes,round,kv_dtype,prefix_idx,ttft_ms,total_ms,gpu_kv_cache_tokens,fs_tier_queries,cpu_tier_queries,o_direct,fs_root,desc,host_contention,foreign_gpu_count,foreign_max_util,log
20260901-232539-m2-retrieval,2026-09-01T23:26:43.040330+08:00,llama,gpu_resident,0,16384,1,cold,auto,0,4746.173,4864.271,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,block 沒被逐出，warm 直接命中 GPU prefix cache（≈0 的基準）,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_resident_r0/server.log
20260901-232539-m2-retrieval,2026-09-01T23:26:43.570865+08:00,llama,gpu_resident,0,16384,1,warm,auto,0,143.263,266.401,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,block 沒被逐出，warm 直接命中 GPU prefix cache（≈0 的基準）,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_resident_r0/server.log
20260901-232539-m2-retrieval,2026-09-01T23:27:47.519680+08:00,llama,gpu_fp8,0,16384,1,cold,fp8,0,4734.666,4851.799,96272,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,GPU FP8 儲存：容量 2×，讀取要反量化,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_fp8_r0/server.log
20260901-232539-m2-retrieval,2026-09-01T23:27:48.058800+08:00,llama,gpu_fp8,0,16384,1,warm,fp8,0,149.068,262.867,96272,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,GPU FP8 儲存：容量 2×，讀取要反量化,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_fp8_r0/server.log
20260901-232539-m2-retrieval,2026-09-01T23:29:05.253153+08:00,llama,gpu_int4,0,16384,1,cold,int4_per_token_head,0,7887.104,8037.321,181216,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,GPU INT4 儲存：容量 4×，讀取要反量化,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_int4_r0/server.log
20260901-232539-m2-retrieval,2026-09-01T23:29:05.820073+08:00,llama,gpu_int4,0,16384,1,warm,int4_per_token_head,0,155.97,303.917,181216,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,GPU INT4 儲存：容量 4×，讀取要反量化,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_int4_r0/server.log
20260901-232539-m2-retrieval,2026-09-01T23:30:13.883782+08:00,llama,gpu_fp8,0,16384,1,cold,fp8,0,4766.322,4886.676,96272,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,GPU FP8 儲存：容量 2×，讀取要反量化,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_fp8_r1/server.log
20260901-232539-m2-retrieval,2026-09-01T23:30:14.393230+08:00,llama,gpu_fp8,0,16384,1,warm,fp8,0,137.82,254.082,96272,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,GPU FP8 儲存：容量 2×，讀取要反量化,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_fp8_r1/server.log
20260901-232539-m2-retrieval,2026-09-01T23:31:31.673530+08:00,llama,gpu_int4,0,16384,1,cold,int4_per_token_head,0,7966.972,8114.213,181216,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,GPU INT4 儲存：容量 4×，讀取要反量化,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_int4_r1/server.log
20260901-232539-m2-retrieval,2026-09-01T23:31:32.245490+08:00,llama,gpu_int4,0,16384,1,warm,int4_per_token_head,0,149.94,298.118,181216,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,GPU INT4 儲存：容量 4×，讀取要反量化,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_int4_r1/server.log
20260901-232539-m2-retrieval,2026-09-01T23:32:36.299795+08:00,llama,gpu_resident,0,16384,1,cold,auto,0,4798.868,4918.378,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,block 沒被逐出，warm 直接命中 GPU prefix cache（≈0 的基準）,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_resident_r1/server.log
20260901-232539-m2-retrieval,2026-09-01T23:32:36.834534+08:00,llama,gpu_resident,0,16384,1,warm,auto,0,140.828,263.622,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,block 沒被逐出，warm 直接命中 GPU prefix cache（≈0 的基準）,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_resident_r1/server.log
20260901-232539-m2-retrieval,2026-09-01T23:33:46.038769+08:00,llama,gpu_int4,0,16384,1,cold,int4_per_token_head,0,7955.388,8109.856,181216,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,GPU INT4 儲存：容量 4×，讀取要反量化,QUIET,0,0,/ssd7/hungwei/paper-hkv/runs/20260901-232539-m2-retrieval/gpu_int4_r2/server.log
