run_id,ts,baseline,model_key,model,gpu,ctx,actual_prompt_tokens,round,prefix_idx,ttft_ms,tpot_ms,total_ms,gen_tokens,gpu_kv_cache_tokens,n_prefixes,caveat,concurrency_mode,quality_score,quality_metric,contaminated,guard_verdict,log,mode_source,host_contention,foreign_gpu_count,foreign_max_util
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:42:13.052899+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,cold,0,5174.908,17.029,5413.308,15,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:42:19.049948+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,cold,1,5464.556,16.72,5715.36,16,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:42:25.101481+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,cold,2,5523.271,16.71,5773.922,16,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:42:31.214222+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,cold,3,5587.798,17.358,5830.808,15,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:42:31.875036+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,warm,0,126.555,16.993,364.457,15,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:42:32.532413+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,warm,1,133.584,16.767,368.328,15,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:42:33.166238+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,warm,2,120.556,16.919,357.424,15,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:42:33.883886+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,warm,3,154.71,16.987,392.524,15,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:42:49.456908+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,cold,0,13747.346,19.331,14017.98,15,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,91
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:43:04.039905+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,cold,1,14011.634,14.992,14296.487,20,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:43:18.675417+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,cold,2,14089.162,14.479,14349.791,19,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
