ts,sim_version,trace,model_profile,device,gpu_budget_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,gpu_blocks,ssd_gib,ssd_blocks,unique_blocks,requests,pressure_x,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict
2026-08-31T18:39:01.475690+08:00,6501da0a,toolagent,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,3008,512.0,262144,5457182,23608,1814.22,full_gpu,63406541.2,3871993,0,0,8822738,0,0,,,,,tier_fs,,
2026-08-31T18:39:01.475811+08:00,6501da0a,toolagent,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,3008,512.0,262144,5457182,23608,1814.22,cpu_lru,60911564.84,3871993,555118,0,8267620,0,8819730,,,,,tier_fs,,
2026-08-31T18:39:01.475841+08:00,6501da0a,toolagent,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,3008,512.0,262144,5457182,23608,1814.22,cpu_arc,60650773.58,4464000,3559,0,8227172,0,8227723,,,,,tier_fs,,
2026-08-31T18:39:01.475863+08:00,6501da0a,toolagent,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,3008,512.0,262144,5457182,23608,1814.22,tier_fs,57796407.56,3871993,555118,1456473,6811147,8252324,8819730,,,,,tier_fs,,
2026-08-31T18:39:01.475882+08:00,6501da0a,toolagent,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,3008,512.0,262144,5457182,23608,1814.22,oracle,51145681.0,4651616,615659,1970274,5457182,1970274,1367975,5454174,615659,1970274,62.033,tier_fs,11.507,MARGINAL
2026-08-31T18:41:35.040497+08:00,6501da0a,toolagent,llama-bf16,nvme,24064,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,1504,512.0,262144,5457182,23608,3628.45,full_gpu,66492172.34,3194560,0,0,9500171,0,0,,,,,tier_fs,,
2026-08-31T18:41:35.040591+08:00,6501da0a,toolagent,llama-bf16,nvme,24064,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,1504,512.0,262144,5457182,23608,3628.45,cpu_lru,60954060.39,3194560,1228583,0,8271588,0,9498667,,,,,tier_fs,,
2026-08-31T18:41:35.040617+08:00,6501da0a,toolagent,llama-bf16,nvme,24064,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,1504,512.0,262144,5457182,23608,3628.45,cpu_arc,60832014.64,4434336,5991,0,8254404,0,8258891,,,,,tier_fs,,
2026-08-31T18:41:35.040636+08:00,6501da0a,toolagent,llama-bf16,nvme,24064,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,1504,512.0,262144,5457182,23608,3628.45,tier_fs,57848895.68,3194560,1228583,1455513,6816075,8257796,9498667,,,,,tier_fs,,
2026-08-31T18:41:35.040655+08:00,6501da0a,toolagent,llama-bf16,nvme,24064,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,1504,512.0,262144,5457182,23608,3628.45,oracle,51462739.33,4531096,674515,2031938,5457182,2031938,1416486,5455678,674515,2031938,61.272,tier_fs,11.039,MARGINAL
2026-08-31T18:44:07.299505+08:00,6501da0a,toolagent,llama-bf16,nvme,12032,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,752,512.0,262144,5457182,23608,7256.89,full_gpu,70167953.57,2383168,0,0,10311563,0,0,,,,,tier_fs,,
2026-08-31T18:44:07.299623+08:00,6501da0a,toolagent,llama-bf16,nvme,12032,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,752,512.0,262144,5457182,23608,7256.89,cpu_lru,60992138.28,2383168,2037671,0,8273892,0,10310811,,,,,tier_fs,,
2026-08-31T18:44:07.299650+08:00,6501da0a,toolagent,llama-bf16,nvme,12032,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,752,512.0,262144,5457182,23608,7256.89,cpu_arc,60833171.06,4434912,5159,0,8254660,0,8259067,,,,,tier_fs,,
2026-08-31T18:44:07.299670+08:00,6501da0a,toolagent,llama-bf16,nvme,12032,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,budget,752,512.0,262144,5457182,23608,7256.89,tier_fs,57982877.72,2383168,2037671,1449177,6824715,8260852,10310811,,,,,tier_fs,,
