ts,trace,bin,bin_lo_tokens,bin_hi_tokens,requests,share_of_total_time_pct,best_baseline,baseline_ms,oracle_ms,saving_pct_within_bin,share_of_total_saving_pct,model_profile,ssd_gib,cpu_gib,oracle_dest,device
2026-08-31T16:43:51.110665+08:00,toolagent,0–4K,0,4096,6928,3.22,tier_fs,1829872.56,1658578.13,9.361,2.43,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:43:51.116656+08:00,toolagent,4K–8K,4096,8192,11548,9.232,tier_fs,5246795.12,4813141.79,8.265,6.16,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:43:51.119416+08:00,toolagent,8K–16K,8192,16384,2688,16.099,tier_fs,9149792.1,8088196.22,11.602,15.07,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:43:51.121575+08:00,toolagent,16K–32K,16384,32768,1716,25.795,tier_fs,14660478.42,12683043.24,13.488,28.07,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:43:51.123125+08:00,toolagent,32K–64K,32768,65536,516,20.383,tier_fs,11584627.12,10033949.58,13.386,22.02,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:43:51.124377+08:00,toolagent,64K–128K,65536,131072,212,25.273,tier_fs,14363950.23,12515153.28,12.871,26.25,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:46:09.139051+08:00,conversation,0–4K,0,4096,4093,2.089,tier_fs,1267961.57,1119595.28,11.701,1.79,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:46:09.142610+08:00,conversation,4K–8K,4096,8192,2518,6.032,tier_fs,3661029.39,3247082.85,11.307,4.99,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:46:09.146115+08:00,conversation,8K–16K,8192,16384,2686,15.548,tier_fs,9436844.31,8253010.78,12.545,14.27,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:46:09.149113+08:00,conversation,16K–32K,16384,32768,1903,26.152,tier_fs,15873533.84,13614198.94,14.233,27.23,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:46:09.151481+08:00,conversation,32K–64K,32768,65536,576,21.048,tier_fs,12775432.44,11043905.46,13.554,20.87,llama-bf16,512.0,24.0,best,sata
2026-08-31T16:46:09.153345+08:00,conversation,64K–128K,65536,131072,255,29.132,tier_fs,17681866.47,15120501.95,14.486,30.87,llama-bf16,512.0,24.0,best,sata
