ts,sim_version,trace,model_profile,device,gpu_budget_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,synthetic,request_tokens,requeries_per_doc,reuse_pct,tail_frac,n_docs,requests,unique_blocks,pressure_x,single_request_fits,ssd_gib,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,decode_ms,prefill_ms,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict
2026-08-31T20:18:18.748529+08:00,0e7b989d,surface:L8192:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,1.2,58.85,0.02,100,120,25776,8.57,1,512.0,full_gpu,238602.6,13824,0,0,48816,0,0,0.0,238602.6,,,,,tier_fs,,
2026-08-31T20:18:18.748619+08:00,0e7b989d,surface:L8192:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,1.2,58.85,0.02,100,120,25776,8.57,1,512.0,cpu_lru,142407.41,13824,20992,0,27824,0,45808,0.0,142407.41,,,,,tier_fs,,
2026-08-31T20:18:18.748649+08:00,0e7b989d,surface:L8192:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,1.2,58.85,0.02,100,120,25776,8.57,1,512.0,cpu_arc,142186.78,14656,20160,0,27824,0,44976,0.0,142186.78,,,,,tier_fs,,
2026-08-31T20:18:18.748671+08:00,0e7b989d,surface:L8192:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,1.2,58.85,0.02,100,120,25776,8.57,1,512.0,tier_fs,140323.54,13824,20992,2048,25776,12528,45808,0.0,140323.54,,,,,tier_fs,,
2026-08-31T20:18:18.748692+08:00,0e7b989d,surface:L8192:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,1.2,58.85,0.02,100,120,25776,8.57,1,512.0,oracle,128690.68,27904,8960,0,25776,0,8960,0.0,128690.68,22768,8960,0,71.76,tier_fs,8.29,MARGINAL
2026-08-31T20:18:19.299588+08:00,0e7b989d,surface:L8192:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,2.0,67.84,0.02,60,120,20144,6.7,1,512.0,full_gpu,208704.41,19968,0,0,42672,0,0,0.0,208704.41,,,,,tier_fs,,
2026-08-31T20:18:19.299680+08:00,0e7b989d,surface:L8192:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,2.0,67.84,0.02,60,120,20144,6.7,1,512.0,cpu_lru,110458.96,19968,21504,0,21168,0,39664,0.0,110458.96,,,,,tier_fs,,
2026-08-31T20:18:19.299706+08:00,0e7b989d,surface:L8192:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,2.0,67.84,0.02,60,120,20144,6.7,1,512.0,cpu_arc,113012.53,18724,22236,0,21680,0,40908,0.0,113012.53,,,,,tier_fs,,
2026-08-31T20:18:19.299727+08:00,0e7b989d,surface:L8192:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,2.0,67.84,0.02,60,120,20144,6.7,1,512.0,tier_fs,109747.97,19968,21504,1024,20144,5872,39664,0.0,109747.97,,,,,tier_fs,,
2026-08-31T20:18:19.299746+08:00,0e7b989d,surface:L8192:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,2.0,67.84,0.02,60,120,20144,6.7,1,512.0,oracle,101945.9,33920,8576,0,20144,0,8576,0.0,101945.9,17136,8576,0,66.646,tier_fs,7.109,MARGINAL
2026-08-31T20:18:19.796486+08:00,0e7b989d,surface:L8192:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,5.0,80.92,0.02,24,120,11952,3.97,1,512.0,full_gpu,171331.68,27648,0,0,34992,0,0,0.0,171331.68,,,,,cpu_arc,,
2026-08-31T20:18:19.796576+08:00,0e7b989d,surface:L8192:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,5.0,80.92,0.02,24,120,11952,3.97,1,512.0,cpu_lru,68259.22,27648,23040,0,11952,0,31984,0.0,68259.22,,,,,cpu_arc,,
2026-08-31T20:18:19.796603+08:00,0e7b989d,surface:L8192:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,5.0,80.92,0.02,24,120,11952,3.97,1,512.0,cpu_arc,67667.8,28737,21951,0,11952,0,30895,0.0,67667.8,,,,,cpu_arc,,
2026-08-31T20:18:19.796625+08:00,0e7b989d,surface:L8192:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,5.0,80.92,0.02,24,120,11952,3.97,1,512.0,tier_fs,68259.22,27648,23040,0,11952,0,31984,0.0,68259.22,,,,,cpu_arc,,
2026-08-31T20:18:19.796644+08:00,0e7b989d,surface:L8192:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,5.0,80.92,0.02,24,120,11952,3.97,1,512.0,oracle,62081.65,43584,7104,0,11952,0,7104,0.0,62081.65,8944,7104,0,55.733,cpu_arc,8.255,MARGINAL
2026-08-31T20:18:20.222799+08:00,0e7b989d,surface:L8192:rq10,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,10.0,89.09,0.02,12,120,6832,2.27,1,512.0,full_gpu,96586.22,43008,0,0,19632,0,0,0.0,96586.22,,,,,cpu_lru,,
2026-08-31T20:18:20.222891+08:00,0e7b989d,surface:L8192:rq10,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,10.0,89.09,0.02,12,120,6832,2.27,1,512.0,cpu_lru,39593.4,43008,12800,0,6832,0,16624,0.0,39593.4,,,,,cpu_lru,,
2026-08-31T20:18:20.222918+08:00,0e7b989d,surface:L8192:rq10,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,10.0,89.09,0.02,12,120,6832,2.27,1,512.0,cpu_arc,40374.89,41094,14714,0,6832,0,18538,0.0,40374.89,,,,,cpu_lru,,
2026-08-31T20:18:20.222939+08:00,0e7b989d,surface:L8192:rq10,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,10.0,89.09,0.02,12,120,6832,2.27,1,512.0,tier_fs,39593.4,43008,12800,0,6832,0,16624,0.0,39593.4,,,,,cpu_lru,,
2026-08-31T20:18:20.222958+08:00,0e7b989d,surface:L8192:rq10,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,8192,10.0,89.09,0.02,12,120,6832,2.27,1,512.0,oracle,35622.11,52544,3264,0,6832,0,3264,0.0,35622.11,3824,3264,0,53.95,cpu_lru,10.03,MARGINAL
2026-08-31T20:18:21.599462+08:00,0e7b989d,surface:L16384:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,1.2,58.85,0.02,100,120,51552,17.14,1,512.0,full_gpu,645366.95,13312,0,0,111968,0,0,0.0,645366.95,,,,,tier_fs,,
2026-08-31T20:18:21.599557+08:00,0e7b989d,surface:L16384:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,1.2,58.85,0.02,100,120,51552,17.14,1,512.0,cpu_lru,440778.28,13312,36864,0,75104,0,108960,0.0,440778.28,,,,,tier_fs,,
2026-08-31T20:18:21.599585+08:00,0e7b989d,surface:L16384:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,1.2,58.85,0.02,100,120,51552,17.14,1,512.0,cpu_arc,427018.3,25476,26748,0,73056,0,96796,0.0,427018.3,,,,,tier_fs,,
2026-08-31T20:18:21.599607+08:00,0e7b989d,surface:L16384:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,1.2,58.85,0.02,100,120,51552,17.14,1,512.0,tier_fs,400193.07,13312,36864,23552,51552,59808,108960,0.0,400193.07,,,,,tier_fs,,
2026-08-31T20:18:21.599627+08:00,0e7b989d,surface:L16384:rq1.2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,1.2,58.85,0.02,100,120,51552,17.14,1,512.0,oracle,306726.37,42624,31040,64,51552,64,31104,0.0,306726.37,48544,31040,64,60.899,tier_fs,23.355,GO
2026-08-31T20:18:22.946364+08:00,0e7b989d,surface:L16384:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,2.0,67.84,0.02,60,120,40288,13.39,1,512.0,full_gpu,610184.79,19456,0,0,105824,0,0,0.0,610184.79,,,,,tier_fs,,
2026-08-31T20:18:22.946453+08:00,0e7b989d,surface:L16384:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,2.0,67.84,0.02,60,120,40288,13.39,1,512.0,cpu_lru,329195.66,19456,51200,0,54624,0,102816,0.0,329195.66,,,,,tier_fs,,
2026-08-31T20:18:22.946478+08:00,0e7b989d,surface:L16384:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,2.0,67.84,0.02,60,120,40288,13.39,1,512.0,cpu_arc,334613.78,22282,47350,0,55648,0,99990,0.0,334613.78,,,,,tier_fs,,
2026-08-31T20:18:22.946500+08:00,0e7b989d,surface:L16384:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,2.0,67.84,0.02,60,120,40288,13.39,1,512.0,tier_fs,319164.78,19456,51200,14336,40288,39328,102816,0.0,319164.78,,,,,tier_fs,,
2026-08-31T20:18:22.946518+08:00,0e7b989d,surface:L16384:rq2,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,2.0,67.84,0.02,60,120,40288,13.39,1,512.0,oracle,245438.93,49728,35200,64,40288,64,35264,0.0,245438.93,37280,35200,64,51.344,tier_fs,23.1,GO
2026-08-31T20:18:24.250819+08:00,0e7b989d,surface:L16384:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,5.0,80.92,0.02,24,120,23904,7.95,1,512.0,full_gpu,569138.93,26624,0,0,98656,0,0,0.0,569138.93,,,,,cpu_arc,,
2026-08-31T20:18:24.250978+08:00,0e7b989d,surface:L16384:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,5.0,80.92,0.02,24,120,23904,7.95,1,512.0,cpu_lru,202054.56,26624,67584,0,31072,0,95648,0.0,202054.56,,,,,cpu_arc,,
2026-08-31T20:18:24.251013+08:00,0e7b989d,surface:L16384:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,5.0,80.92,0.02,24,120,23904,7.95,1,512.0,cpu_arc,200685.4,33156,61052,0,31072,0,89116,0.0,200685.4,,,,,cpu_arc,,
2026-08-31T20:18:24.251042+08:00,0e7b989d,surface:L16384:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,5.0,80.92,0.02,24,120,23904,7.95,1,512.0,tier_fs,207460.73,26624,67584,7168,23904,15776,95648,0.0,207460.73,,,,,cpu_arc,,
2026-08-31T20:18:24.251067+08:00,0e7b989d,surface:L16384:rq5,llama-bf16,nvme,48128,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,16384,5.0,80.92,0.02,24,120,23904,7.95,1,512.0,oracle,155317.45,62848,38528,0,23904,0,38528,0.0,155317.45,20896,38528,0,35.164,cpu_arc,22.607,GO
