ts,sim_version,trace,model_profile,device,gpu_budget_tokens,gpu_tokens_override,profile_gpu_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,bin,bin_lo_tokens,bin_hi_tokens,requests,share_of_total_time_pct,baseline_ms,oracle_ms,best_baseline,saving_pct_within_bin,share_of_total_saving_pct,overall_headroom_pct,ssd_gib
2026-09-01T14:05:52.591664+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,0–4K,0,4096,6928,16.301,19606591.98,19465035.01,cpu_arc,0.722,1.81,6.509,512.0
2026-09-01T14:05:52.598186+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,4K–8K,4096,8192,11548,15.144,18214555.55,17875385.34,cpu_arc,1.862,4.33,6.509,512.0
2026-09-01T14:05:52.601136+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,8K–16K,8192,16384,2688,18.621,22396605.49,21507398.37,cpu_arc,3.97,11.36,6.509,512.0
2026-09-01T14:05:52.603512+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,16K–32K,16384,32768,1716,21.178,25472729.1,23771762.55,cpu_arc,6.678,21.73,6.509,512.0
2026-09-01T14:05:52.605255+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,32K–64K,32768,65536,516,13.891,16708049.26,14959017.97,cpu_arc,10.468,22.34,6.509,512.0
2026-09-01T14:05:52.606627+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,64K–128K,65536,131072,212,14.866,17880152.0,14871564.33,cpu_arc,16.826,38.43,6.509,512.0
2026-09-01T14:08:17.441520+08:00,b0d39dd4,conversation,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,0–4K,0,4096,4093,14.956,18340347.58,18190502.21,tier_fs,0.817,1.63,7.516,512.0
2026-09-01T14:08:17.443619+08:00,b0d39dd4,conversation,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,4K–8K,4096,8192,2518,12.338,15129518.94,14612113.3,tier_fs,3.42,5.61,7.516,512.0
2026-09-01T14:08:17.445331+08:00,b0d39dd4,conversation,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,8K–16K,8192,16384,2686,19.181,23521330.17,21784673.08,tier_fs,7.383,18.84,7.516,512.0
2026-09-01T14:08:17.446815+08:00,b0d39dd4,conversation,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,16K–32K,16384,32768,1903,22.785,27940825.81,25006287.18,tier_fs,10.503,31.84,7.516,512.0
2026-09-01T14:08:17.448244+08:00,b0d39dd4,conversation,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,32K–64K,32768,65536,576,14.467,17741151.13,16101425.6,tier_fs,9.242,17.79,7.516,512.0
2026-09-01T14:08:17.449517+08:00,b0d39dd4,conversation,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,64K–128K,65536,131072,255,16.273,19956009.97,17717716.28,tier_fs,11.216,24.29,7.516,512.0
