ts,sim_version,trace,model_profile,device,gpu_budget_tokens,gpu_tokens_override,profile_gpu_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,ssd_gib,ssd_blocks,unique_blocks,requests,accesses,ssd_covers_working_set_pct,working_set_tib,device_total_tib,trace_duration_s,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,decode_ms,prefill_ms,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict,ssd_write_mibps
2026-09-01T13:35:01.492934+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,0.0,0,5457182,23608,12694731,0.0,5.2,3.58,3537.0,full_gpu,121084478.87,4329542,0,0,8365189,0,0,60786072.55,60298406.32,,,,,cpu_arc,,,0.0
2026-09-01T13:35:01.493073+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,0.0,0,5457182,23608,12694731,0.0,5.2,3.58,3537.0,cpu_lru,120429337.17,4329542,137094,0,8228095,0,8357669,60786072.55,59643264.62,,,,,cpu_arc,,,0.0
2026-09-01T13:35:01.493107+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,0.0,0,5457182,23608,12694731,0.0,5.2,3.58,3537.0,cpu_arc,120278683.38,4464025,24842,0,8205864,0,8223186,60786072.55,59492610.83,,,,,cpu_arc,,,0.0
2026-09-01T13:35:01.493132+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,0.0,0,5457182,23608,12694731,0.0,5.2,3.58,3537.0,oracle,111488966.32,4920117,885167,0,6889447,0,1666370,60786072.55,50702893.77,5449662,885167,0,63.751,cpu_arc,7.308,MARGINAL,0.0
2026-09-01T13:37:46.896305+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,32.0,32768,5457182,23608,12694731,0.6,5.2,3.58,3537.0,full_gpu,121084478.87,4329542,0,0,8365189,0,0,60786072.55,60298406.32,,,,,cpu_arc,,,0.0
2026-09-01T13:37:46.896409+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,32.0,32768,5457182,23608,12694731,0.6,5.2,3.58,3537.0,cpu_lru,120429337.17,4329542,137094,0,8228095,0,8357669,60786072.55,59643264.62,,,,,cpu_arc,,,0.0
2026-09-01T13:37:46.896437+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,32.0,32768,5457182,23608,12694731,0.6,5.2,3.58,3537.0,cpu_arc,120278683.38,4464025,24842,0,8205864,0,8223186,60786072.55,59492610.83,,,,,cpu_arc,,,0.0
2026-09-01T13:37:46.896460+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,32.0,32768,5457182,23608,12694731,0.6,5.2,3.58,3537.0,tier_fs,120508563.68,4329542,137094,99833,8128262,8195999,8357669,60786072.55,59722491.13,,,,,cpu_arc,,,2317.2
2026-09-01T13:37:46.896481+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,32.0,32768,5457182,23608,12694731,0.6,5.2,3.58,3537.0,oracle,111056552.92,4920117,885167,310268,6579179,718284,1666370,60786072.55,50270480.37,5449662,885167,315086,63.751,cpu_arc,7.667,MARGINAL,203.1
2026-09-01T13:40:39.813389+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,128.0,131072,5457182,23608,12694731,2.4,5.2,3.58,3537.0,full_gpu,121084478.87,4329542,0,0,8365189,0,0,60786072.55,60298406.32,,,,,cpu_arc,,,0.0
2026-09-01T13:40:39.813491+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,128.0,131072,5457182,23608,12694731,2.4,5.2,3.58,3537.0,cpu_lru,120429337.17,4329542,137094,0,8228095,0,8357669,60786072.55,59643264.62,,,,,cpu_arc,,,0.0
2026-09-01T13:40:39.813520+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,128.0,131072,5457182,23608,12694731,2.4,5.2,3.58,3537.0,cpu_arc,120278683.38,4464025,24842,0,8205864,0,8223186,60786072.55,59492610.83,,,,,cpu_arc,,,0.0
2026-09-01T13:40:39.813545+08:00,b0d39dd4,toolagent,llama-awq,nvme,120320,0,120320,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,128.0,131072,5457182,23608,12694731,2.4,5.2,3.58,3537.0,tier_fs,120990192.82,4329542,137094,729231,7498864,8195999,8357669,60786072.55,60204120.27,,,,,cpu_arc,,,2317.2
