ts,alpha,workload,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,gpu_budget_tokens,cpu_budget_gib,docs,doc_tokens,requests,seed,lookup,prefetch,unique_blocks,realized_pressure_x,best_baseline,oracle_headroom_pct,verdict,method,cost_model
2026-08-31T15:45:24.434281+08:00,,pressure:0.5x,full_gpu,6814.05,100864,0,0,1536,48128,24.0,64,4096,400,1234,prefix,1,1536,0.511,full_gpu,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:24.438141+08:00,,pressure:0.5x,cpu_lru,6814.05,100864,0,0,1536,48128,24.0,64,4096,400,1234,prefix,1,1536,0.511,full_gpu,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:24.441953+08:00,,pressure:0.5x,cpu_arc,6814.05,100864,0,0,1536,48128,24.0,64,4096,400,1234,prefix,1,1536,0.511,full_gpu,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:24.445738+08:00,,pressure:0.5x,tier_fs,6814.05,100864,0,0,1536,48128,24.0,64,4096,400,1234,prefix,1,1536,0.511,full_gpu,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:24.449497+08:00,,pressure:0.5x,oracle,6814.05,100864,0,0,1536,48128,24.0,64,4096,400,1234,prefix,1,1536,0.511,full_gpu,0.0,NO_GO,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:24.796828+08:00,,pressure:1x,full_gpu,21577.82,97536,0,0,4864,48128,24.0,64,4096,400,1234,prefix,1,3072,1.021,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:24.801344+08:00,,pressure:1x,cpu_lru,14682.44,97536,1792,0,3072,48128,24.0,64,4096,400,1234,prefix,1,3072,1.021,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:24.805767+08:00,,pressure:1x,cpu_arc,14676.55,97546,1782,0,3072,48128,24.0,64,4096,400,1234,prefix,1,3072,1.021,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:24.810173+08:00,,pressure:1x,tier_fs,14682.44,97536,1792,0,3072,48128,24.0,64,4096,400,1234,prefix,1,3072,1.021,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:24.814525+08:00,,pressure:1x,oracle,13703.41,99200,128,0,3072,48128,24.0,64,4096,400,1234,prefix,1,3072,1.021,cpu_arc,6.63,MARGINAL_ASK_HUMAN,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.261829+08:00,,pressure:2x,full_gpu,154451.78,67584,0,0,34816,48128,24.0,64,4096,400,1234,prefix,1,6144,2.043,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.266398+08:00,,pressure:2x,cpu_lru,43673.75,67584,28672,0,6144,48128,24.0,64,4096,400,1234,prefix,1,6144,2.043,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.270843+08:00,,pressure:2x,cpu_arc,42425.84,69705,26551,0,6144,48128,24.0,64,4096,400,1234,prefix,1,6144,2.043,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.275298+08:00,,pressure:2x,tier_fs,43673.75,67584,28672,0,6144,48128,24.0,64,4096,400,1234,prefix,1,6144,2.043,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.279670+08:00,,pressure:2x,oracle,34260.01,84096,12160,0,6144,48128,24.0,64,4096,400,1234,prefix,1,6144,2.043,cpu_arc,19.25,GO,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.913200+08:00,,pressure:4x,full_gpu,293004.1,54272,0,0,66048,48128,24.0,64,4096,470,1234,prefix,1,12032,4.0,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.918645+08:00,,pressure:4x,cpu_lru,83199.43,54272,54016,0,12032,48128,24.0,64,4096,470,1234,prefix,1,12032,4.0,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.923763+08:00,,pressure:4x,cpu_arc,77363.5,65215,43073,0,12032,48128,24.0,64,4096,470,1234,prefix,1,12032,4.0,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.928840+08:00,,pressure:4x,tier_fs,83199.43,54272,54016,0,12032,48128,24.0,64,4096,470,1234,prefix,1,12032,4.0,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:25.933900+08:00,,pressure:4x,oracle,66555.94,85248,23040,0,12032,48128,24.0,64,4096,470,1234,prefix,1,12032,4.0,cpu_arc,13.97,MARGINAL_ASK_HUMAN,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:27.405348+08:00,,pressure:8x,full_gpu,716610.81,79104,0,0,161536,48128,24.0,64,4096,940,1234,prefix,1,23552,7.83,cpu_lru,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:27.418118+08:00,,pressure:8x,cpu_lru,259768.2,79104,115712,0,45824,48128,24.0,64,4096,940,1234,prefix,1,23552,7.83,cpu_lru,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:27.429447+08:00,,pressure:8x,cpu_arc,260242.26,86023,108025,0,46592,48128,24.0,64,4096,940,1234,prefix,1,23552,7.83,cpu_lru,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:27.441025+08:00,,pressure:8x,tier_fs,288920.22,79104,115712,22272,23552,48128,24.0,64,4096,940,1234,prefix,1,23552,7.83,cpu_lru,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:27.452237+08:00,,pressure:8x,oracle,200955.36,145152,60672,11264,23552,48128,24.0,64,4096,940,1234,prefix,1,23552,7.83,cpu_lru,22.64,GO,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:30.684864+08:00,,pressure:16x,full_gpu,1592216.1,122368,0,0,358912,48128,24.0,64,4096,1880,1234,prefix,1,47104,15.66,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:30.707201+08:00,,pressure:16x,cpu_lru,824728.74,122368,188928,0,169984,48128,24.0,64,4096,1880,1234,prefix,1,47104,15.66,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:30.728722+08:00,,pressure:16x,cpu_arc,805187.49,155291,158309,0,167680,48128,24.0,64,4096,1880,1234,prefix,1,47104,15.66,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:30.750198+08:00,,pressure:16x,tier_fs,967967.1,122368,188928,122880,47104,48128,24.0,64,4096,1880,1234,prefix,1,47104,15.66,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:30.771600+08:00,,pressure:16x,oracle,755511.2,254080,87488,92608,47104,48128,24.0,64,4096,1880,1234,prefix,1,47104,15.66,cpu_arc,6.17,MARGINAL_ASK_HUMAN,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:38.130108+08:00,,pressure:32x,full_gpu,3463808.21,181760,0,0,780800,48128,24.0,64,4096,3760,1234,prefix,1,94720,31.489,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:38.184071+08:00,,pressure:32x,cpu_lru,2205299.61,181760,304128,0,476672,48128,24.0,64,4096,3760,1234,prefix,1,94720,31.489,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:38.244771+08:00,,pressure:32x,cpu_arc,2189084.02,230718,255938,0,475904,48128,24.0,64,4096,3760,1234,prefix,1,94720,31.489,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:38.295654+08:00,,pressure:32x,tier_fs,2589259.7,181760,304128,381952,94720,48128,24.0,64,4096,3760,1234,prefix,1,94720,31.489,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:45:38.356260+08:00,,pressure:32x,oracle,2116293.26,436096,122304,309440,94720,48128,24.0,64,4096,3760,1234,prefix,1,94720,31.489,cpu_arc,3.33,NO_GO,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
