ts,sim_version,trace,model_profile,device,gpu_budget_tokens,gpu_tokens_override,profile_gpu_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,ssd_gib,ssd_blocks,unique_blocks,requests,accesses,ssd_covers_working_set_pct,working_set_tib,device_total_tib,trace_duration_s,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,decode_ms,prefill_ms,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict,ssd_write_mibps
2026-09-05T14:27:25.960124+08:00,fbea1a98,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,0.0,0,5457182,23608,12694731,0.0,4.55,3.58,3537.0,full_gpu,79056736.81,4433411,0,0,8261320,0,0,26289041.56,52767695.25,,,,,cpu_arc,,,0.0
2026-09-05T14:27:25.960190+08:00,fbea1a98,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,0.0,0,5457182,23608,12694731,0.0,4.55,3.58,3537.0,cpu_lru,78696714.02,4433411,66458,0,8194862,0,8244203,26289041.56,52407672.45,,,,,cpu_arc,,,0.0
2026-09-05T14:27:25.960208+08:00,fbea1a98,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,0.0,0,5457182,23608,12694731,0.0,4.55,3.58,3537.0,cpu_arc,78602021.49,4471427,46804,0,8176500,0,8206187,26289041.56,52312979.92,,,,,cpu_arc,,,0.0
2026-09-05T14:27:25.960222+08:00,fbea1a98,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,0.0,0,5457182,23608,12694731,0.0,4.55,3.58,3537.0,oracle,68938615.7,5339388,754532,0,6600811,0,1437174,26289041.56,42649574.13,5440065,754532,0,67.824,cpu_arc,12.294,MARGINAL,0.0
2026-09-05T14:30:38.280232+08:00,fbea1a98,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,full_gpu,79056736.81,4433411,0,0,8261320,0,0,26289041.56,52767695.25,,,,,cpu_arc,,,0.0
2026-09-05T14:30:38.280277+08:00,fbea1a98,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,cpu_lru,78696714.02,4433411,66458,0,8194862,0,8244203,26289041.56,52407672.45,,,,,cpu_arc,,,0.0
2026-09-05T14:30:38.280292+08:00,fbea1a98,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,cpu_arc,78602021.49,4471427,46804,0,8176500,0,8206187,26289041.56,52312979.92,,,,,cpu_arc,,,0.0
2026-09-05T14:30:38.280303+08:00,fbea1a98,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,tier_fs,85007040.02,4433411,66458,2282921,5911941,8149659,8244203,26289041.56,58717998.46,,,,,cpu_arc,,,2016.1
2026-09-05T14:30:38.280314+08:00,fbea1a98,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,oracle,68906641.26,5339388,754532,5233,6595578,137136,1437174,26289041.56,42617599.7,5440065,754532,137136,67.824,cpu_arc,12.335,MARGINAL,33.9
2026-09-05T14:33:06.024964+08:00,fbea1a98,conversation,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-oraclefix/cost_model.json,ssd,0.0,0,5674025,12031,9055233,0.0,4.73,3.58,3537.0,full_gpu,82383522.17,389600,0,0,8665633,0,0,25340096.79,57043425.38,,,,,cpu_arc,,,0.0
