ts,sim_version,trace,model_profile,device,gpu_budget_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,synthetic,request_tokens,requeries_per_doc,reuse_pct,tail_frac,n_docs,requests,unique_blocks,pressure_x,single_request_fits,ssd_gib,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,decode_ms,prefill_ms,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict
2026-09-01T12:44:17.381398+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,full_gpu,1518020.58,73728,0,0,176832,0,0,359262.87,1158757.71,,,,,cpu_lru,,
2026-09-01T12:44:17.381498+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,cpu_lru,1215251.25,73728,47104,0,129728,0,159715,359262.87,855988.38,,,,,cpu_lru,,
2026-09-01T12:44:17.381528+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,cpu_arc,1228317.69,86900,31884,0,131776,0,146543,359262.87,869054.83,,,,,cpu_lru,,
2026-09-01T12:44:17.381550+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,tier_fs,1245670.03,73728,47104,26624,103104,84525,159715,359262.87,886407.16,,,,,cpu_lru,,
2026-09-01T12:44:17.381571+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,oracle,1041792.9,129175,18281,0,103104,0,18281,359262.87,682530.04,85987,18281,0,82.467,cpu_lru,14.273,MARGINAL
2026-09-01T12:44:19.665340+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,full_gpu,1398722.44,92160,0,0,158400,0,0,359262.87,1039459.58,,,,,cpu_arc,,
2026-09-01T12:44:19.665436+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,cpu_lru,952949.19,92160,69632,0,88768,0,141283,359262.87,593686.32,,,,,cpu_arc,,
2026-09-01T12:44:19.665461+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,cpu_arc,952029.17,102402,59390,0,88768,0,131041,359262.87,592766.3,,,,,cpu_arc,,
2026-09-01T12:44:19.665482+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,tier_fs,969554.19,92160,69632,8192,80576,43565,141283,359262.87,610291.32,,,,,cpu_arc,,
2026-09-01T12:44:19.665502+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,oracle,895984.07,155066,14918,0,80576,0,14918,359262.87,536721.21,63459,14918,0,80.966,cpu_arc,5.887,MARGINAL
