ts,sim_version,trace,model_profile,device,gpu_budget_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,synthetic,request_tokens,requeries_per_doc,reuse_pct,tail_frac,n_docs,requests,unique_blocks,pressure_x,single_request_fits,ssd_gib,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,decode_ms,prefill_ms,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict
2026-09-01T12:36:35.468628+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,full_gpu,1158757.71,73728,0,0,176832,0,0,0.0,1158757.71,,,,,cpu_lru,,
2026-09-01T12:36:35.468750+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,cpu_lru,855988.38,73728,47104,0,129728,0,159715,0.0,855988.38,,,,,cpu_lru,,
2026-09-01T12:36:35.468779+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,cpu_arc,869054.83,86900,31884,0,131776,0,146543,0.0,869054.83,,,,,cpu_lru,,
2026-09-01T12:36:35.468801+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,tier_fs,886407.16,73728,47104,26624,103104,84525,159715,0.0,886407.16,,,,,cpu_lru,,
2026-09-01T12:36:35.468820+08:00,0e7b989d,surface:L32768:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,oracle,682530.04,129175,18281,0,103104,0,18281,0.0,682530.04,85987,18281,0,82.467,cpu_lru,20.264,GO
2026-09-01T12:36:37.590633+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,full_gpu,1039459.58,92160,0,0,158400,0,0,0.0,1039459.58,,,,,cpu_arc,,
2026-09-01T12:36:37.590738+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,cpu_lru,593686.32,92160,69632,0,88768,0,141283,0.0,593686.32,,,,,cpu_arc,,
2026-09-01T12:36:37.590763+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,cpu_arc,592766.3,102402,59390,0,88768,0,131041,0.0,592766.3,,,,,cpu_arc,,
2026-09-01T12:36:37.590784+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,tier_fs,610291.32,92160,69632,8192,80576,43565,141283,0.0,610291.32,,,,,cpu_arc,,
2026-09-01T12:36:37.590802+08:00,0e7b989d,surface:L32768:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,oracle,536721.21,155066,14918,0,80576,0,14918,0.0,536721.21,63459,14918,0,80.966,cpu_arc,9.455,MARGINAL
2026-09-01T12:36:39.360895+08:00,0e7b989d,surface:L32768:rq5,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,5.0,80.92,0.02,24,120,47808,2.79,1,512.0,full_gpu,668309.83,149504,0,0,101056,0,0,0.0,668309.83,,,,,cpu_arc,,
2026-09-01T12:36:39.361002+08:00,0e7b989d,surface:L32768:rq5,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,5.0,80.92,0.02,24,120,47808,2.79,1,512.0,cpu_lru,329280.58,149504,53248,0,47808,0,83939,0.0,329280.58,,,,,cpu_arc,,
2026-09-01T12:36:39.361030+08:00,0e7b989d,surface:L32768:rq5,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,5.0,80.92,0.02,24,120,47808,2.79,1,512.0,cpu_arc,327711.29,158794,43958,0,47808,0,74649,0.0,327711.29,,,,,cpu_arc,,
2026-09-01T12:36:39.361051+08:00,0e7b989d,surface:L32768:rq5,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,5.0,80.92,0.02,24,120,47808,2.79,1,512.0,tier_fs,329280.58,149504,53248,0,47808,2605,83939,0.0,329280.58,,,,,cpu_arc,,
2026-09-01T12:36:39.361069+08:00,0e7b989d,surface:L32768:rq5,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,5.0,80.92,0.02,24,120,47808,2.79,1,512.0,oracle,324854.43,191197,11555,0,47808,0,11555,0.0,324854.43,30691,11555,0,72.648,cpu_arc,0.872,NO_GO
2026-09-01T12:36:40.899430+08:00,0e7b989d,surface:L32768:rq10,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,10.0,89.09,0.02,12,120,27328,1.6,1,512.0,full_gpu,283904.73,208896,0,0,41664,0,0,0.0,283904.73,,,,,cpu_arc,,
2026-09-01T12:36:40.899546+08:00,0e7b989d,surface:L32768:rq10,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,10.0,89.09,0.02,12,120,27328,1.6,1,512.0,cpu_lru,192753.48,208896,14336,0,27328,0,24547,0.0,192753.48,,,,,cpu_arc,,
2026-09-01T12:36:40.899574+08:00,0e7b989d,surface:L32768:rq10,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,10.0,89.09,0.02,12,120,27328,1.6,1,512.0,cpu_arc,192082.15,212410,10822,0,27328,0,21033,0.0,192082.15,,,,,cpu_arc,,
2026-09-01T12:36:40.899596+08:00,0e7b989d,surface:L32768:rq10,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,10.0,89.09,0.02,12,120,27328,1.6,1,512.0,tier_fs,192753.48,208896,14336,0,27328,0,24547,0.0,192753.48,,,,,cpu_arc,,
2026-09-01T12:36:40.899618+08:00,0e7b989d,surface:L32768:rq10,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,32768,10.0,89.09,0.02,12,120,27328,1.6,1,512.0,oracle,191132.24,221917,1315,0,27328,0,1315,0.0,191132.24,10211,1315,0,88.591,cpu_arc,0.495,NO_GO
2026-09-01T12:36:46.972036+08:00,0e7b989d,surface:L65536:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,1.2,58.84,0.02,100,120,206328,12.05,1,512.0,full_gpu,3953498.88,86016,0,0,415224,0,0,0.0,3953498.88,,,,,tier_fs,,
2026-09-01T12:36:46.972213+08:00,0e7b989d,surface:L65536:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,1.2,58.84,0.02,100,120,206328,12.05,1,512.0,cpu_lru,3223321.04,86016,77824,0,337400,0,398107,0.0,3223321.04,,,,,tier_fs,,
2026-09-01T12:36:46.972243+08:00,0e7b989d,surface:L65536:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,1.2,58.84,0.02,100,120,206328,12.05,1,512.0,cpu_arc,3223321.04,103133,60707,0,337400,0,380990,0.0,3223321.04,,,,,tier_fs,,
2026-09-01T12:36:46.972265+08:00,0e7b989d,surface:L65536:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,1.2,58.84,0.02,100,120,206328,12.05,1,512.0,tier_fs,2835472.06,86016,77824,131072,206328,292197,398107,0.0,2835472.06,,,,,tier_fs,,
2026-09-01T12:36:46.972284+08:00,0e7b989d,surface:L65536:rq1.2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,1.2,58.84,0.02,100,120,206328,12.05,1,512.0,oracle,2078111.05,195444,83231,16237,206328,16237,91423,0.0,2078111.05,189211,83231,16237,63.735,tier_fs,26.71,GO
2026-09-01T12:36:52.648677+08:00,0e7b989d,surface:L65536:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,2.0,67.83,0.02,60,120,161272,9.42,1,512.0,full_gpu,3569194.75,126976,0,0,374264,0,0,0.0,3569194.75,,,,,tier_fs,,
2026-09-01T12:36:52.648803+08:00,0e7b989d,surface:L65536:rq2,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,2.0,67.83,0.02,60,120,161272,9.42,1,512.0,cpu_lru,2800586.49,126976,81920,0,292344,0,357147,0.0,2800586.49,,,,,tier_fs,,
