ts,sim_version,trace,model_profile,device,gpu_budget_tokens,gpu_tokens_override,profile_gpu_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,synthetic,request_tokens,requeries_per_doc,reuse_pct,tail_frac,n_docs,requests,unique_blocks,pressure_x,single_request_fits,ssd_gib,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,decode_ms,prefill_ms,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict
2026-09-01T14:47:38.056249+08:00,b0d39dd4,surface:L32768:rq1.2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,full_gpu,1514841.03,73728,0,0,176832,0,0,359262.87,1155578.16,,,,,cpu_lru,,
2026-09-01T14:47:38.056307+08:00,b0d39dd4,surface:L32768:rq1.2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,cpu_lru,1212924.92,73728,47104,0,129728,0,159715,359262.87,853662.05,,,,,cpu_lru,,
2026-09-01T14:47:38.056326+08:00,b0d39dd4,surface:L32768:rq1.2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,cpu_arc,1225956.01,86900,31884,0,131776,0,146543,359262.87,866693.14,,,,,cpu_lru,,
2026-09-01T14:47:38.056338+08:00,b0d39dd4,surface:L32768:rq1.2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,tier_fs,1244019.42,73728,47104,26624,103104,84525,159715,359262.87,884756.55,,,,,cpu_lru,,
2026-09-01T14:47:38.056351+08:00,b0d39dd4,surface:L32768:rq1.2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,1.2,58.85,0.02,100,120,103104,6.02,1,512.0,oracle,1039942.95,129175,18281,0,103104,0,18281,359262.87,680680.08,85987,18281,0,82.467,cpu_lru,14.262,MARGINAL
2026-09-01T14:47:40.338928+08:00,b0d39dd4,surface:L32768:rq2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,full_gpu,1395874.2,92160,0,0,158400,0,0,359262.87,1036611.33,,,,,cpu_arc,,
2026-09-01T14:47:40.338984+08:00,b0d39dd4,surface:L32768:rq2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,cpu_lru,951367.83,92160,69632,0,88768,0,141283,359262.87,592104.96,,,,,cpu_arc,,
2026-09-01T14:47:40.338998+08:00,b0d39dd4,surface:L32768:rq2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,cpu_arc,950445.63,102402,59390,0,88768,0,131041,359262.87,591182.76,,,,,cpu_arc,,
2026-09-01T14:47:40.339009+08:00,b0d39dd4,surface:L32768:rq2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,tier_fs,968161.26,92160,69632,8192,80576,43565,141283,359262.87,608898.39,,,,,cpu_arc,,
2026-09-01T14:47:40.339020+08:00,b0d39dd4,surface:L32768:rq2,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,results/m4_oracle/qwen-awq-surface/cost_model.json,surface,longctx,32768,2.0,67.84,0.02,60,120,80576,4.71,1,512.0,oracle,894539.05,155066,14918,0,80576,0,14918,359262.87,535276.18,63459,14918,0,80.966,cpu_arc,5.882,MARGINAL
