ts,sim_version,trace,model_profile,device,gpu_budget_tokens,gpu_tokens_override,profile_gpu_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,bin,bin_lo_tokens,bin_hi_tokens,requests,share_of_total_time_pct,baseline_ms,oracle_ms,best_baseline,saving_pct_within_bin,share_of_total_saving_pct,overall_headroom_pct,ssd_gib
2026-09-01T14:45:12.125865+08:00,b0d39dd4,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,0–4K,0,4096,6928,11.058,8691735.87,8569293.5,cpu_arc,1.409,1.85,8.415,512.0
2026-09-01T14:45:12.132222+08:00,b0d39dd4,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,4K–8K,4096,8192,11548,12.752,10023422.15,9741822.63,cpu_arc,2.809,4.26,8.415,512.0
2026-09-01T14:45:12.135119+08:00,b0d39dd4,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,8K–16K,8192,16384,2688,17.69,13904854.3,13113259.8,cpu_arc,5.693,11.97,8.415,512.0
2026-09-01T14:45:12.137400+08:00,b0d39dd4,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,16K–32K,16384,32768,1716,23.008,18084869.59,16712780.28,cpu_arc,7.587,20.74,8.415,512.0
2026-09-01T14:45:12.139068+08:00,b0d39dd4,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,32K–64K,32768,65536,516,16.566,13021473.44,11651900.27,cpu_arc,10.518,20.71,8.415,512.0
2026-09-01T14:45:12.140481+08:00,b0d39dd4,toolagent,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,64K–128K,65536,131072,212,18.925,14875666.15,12198867.21,cpu_arc,17.994,40.47,8.415,512.0
2026-09-01T14:47:34.343949+08:00,b0d39dd4,conversation,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,0–4K,0,4096,4093,9.724,7976326.3,7794026.34,cpu_arc,2.286,2.41,9.226,512.0
2026-09-01T14:47:34.345785+08:00,b0d39dd4,conversation,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,4K–8K,4096,8192,2518,9.86,8087606.05,7679278.68,cpu_arc,5.049,5.4,9.226,512.0
2026-09-01T14:47:34.347427+08:00,b0d39dd4,conversation,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,8K–16K,8192,16384,2686,17.695,14514293.21,13461911.73,cpu_arc,7.251,13.91,9.226,512.0
2026-09-01T14:47:34.348762+08:00,b0d39dd4,conversation,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,16K–32K,16384,32768,1903,23.843,19557279.26,17938709.33,cpu_arc,8.276,21.39,9.226,512.0
2026-09-01T14:47:34.349744+08:00,b0d39dd4,conversation,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,32K–64K,32768,65536,576,17.294,14185580.34,12769763.11,cpu_arc,9.981,18.71,9.226,512.0
2026-09-01T14:47:34.350621+08:00,b0d39dd4,conversation,qwen-awq,nvme,273872,0,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,length,64K–128K,65536,131072,255,21.585,17705303.92,14815101.29,cpu_arc,16.324,38.19,9.226,512.0
