ts,sim_version,trace,model_profile,device,gpu_budget_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,ssd_gib,ssd_blocks,unique_blocks,requests,accesses,ssd_covers_working_set_pct,working_set_tib,device_total_tib,trace_duration_s,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,decode_ms,prefill_ms,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict,ssd_write_mibps
2026-09-01T12:22:44.880754+08:00,0e7b989d,toolagent,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,full_gpu,79205188.16,4433411,0,0,8261320,0,0,26289041.56,52916146.6,,,,,cpu_arc,,,0.0
2026-09-01T12:22:44.881014+08:00,0e7b989d,toolagent,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,cpu_lru,78843961.63,4433411,66458,0,8194862,0,8244203,26289041.56,52554920.07,,,,,cpu_arc,,,0.0
2026-09-01T12:22:44.881053+08:00,0e7b989d,toolagent,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,cpu_arc,78748946.44,4471427,46804,0,8176500,0,8206187,26289041.56,52459904.88,,,,,cpu_arc,,,0.0
2026-09-01T12:22:44.881078+08:00,0e7b989d,toolagent,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,tier_fs,85106742.49,4433411,66458,2282921,5911941,8149659,8244203,26289041.56,58817700.93,,,,,cpu_arc,,,2016.1
2026-09-01T12:22:44.881100+08:00,0e7b989d,toolagent,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5457182,23608,12694731,10.98,4.55,3.58,3537.0,oracle,72082824.79,5339388,754532,1143487,5457324,1143487,1437174,26289041.56,45793783.23,5440065,754532,1143487,67.824,cpu_arc,8.465,MARGINAL,282.9
2026-09-01T12:25:09.181452+08:00,0e7b989d,conversation,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5674025,12031,9055233,10.56,4.73,3.58,3537.0,full_gpu,82539367.24,389600,0,0,8665633,0,0,25340096.79,57199270.46,,,,,cpu_arc,,,0.0
2026-09-01T12:25:09.181605+08:00,0e7b989d,conversation,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5674025,12031,9055233,10.56,4.73,3.58,3537.0,cpu_lru,82295686.81,389600,43774,0,8621859,0,8648516,25340096.79,56955590.02,,,,,cpu_arc,,,0.0
2026-09-01T12:25:09.181637+08:00,0e7b989d,conversation,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5674025,12031,9055233,10.56,4.73,3.58,3537.0,cpu_arc,82181100.17,418848,33854,0,8602531,0,8619268,25340096.79,56841003.39,,,,,cpu_arc,,,0.0
2026-09-01T12:25:09.181660+08:00,0e7b989d,conversation,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5674025,12031,9055233,10.56,4.73,3.58,3537.0,tier_fs,85958417.38,389600,43774,2257232,6364627,8576656,8648516,25340096.79,60618320.59,,,,,cpu_arc,,,2121.7
2026-09-01T12:25:09.181683+08:00,0e7b989d,conversation,qwen-awq,nvme,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,ssd,512.0,599186,5674025,12031,9055233,10.56,4.73,3.58,3537.0,oracle,74555078.38,1305085,743278,1332784,5674086,1332784,1467353,25340096.79,49214981.6,5656908,743278,1332784,66.889,cpu_arc,9.28,MARGINAL,329.7
