ts,sim_version,trace,model_profile,device,gpu_budget_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,semantics,ssd_gib,unique_blocks,requests,delta_vs_baseline_pp,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict
2026-08-31T19:03:40.533158+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,per-block,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,per-block/no-prefetch,512.0,5457182,23608,0.0,full_gpu,63406541.2,3871993,0,0,8822738,0,0,,,,,tier_fs,,
2026-08-31T19:03:40.533288+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,per-block,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,per-block/no-prefetch,512.0,5457182,23608,0.0,cpu_lru,61190427.02,3871993,555118,0,8267620,0,8819730,,,,,tier_fs,,
2026-08-31T19:03:40.533315+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,per-block,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,per-block/no-prefetch,512.0,5457182,23608,0.0,cpu_arc,60651852.52,4464000,3559,0,8227172,0,8227723,,,,,tier_fs,,
2026-08-31T19:03:40.533336+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,per-block,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,per-block/no-prefetch,512.0,5457182,23608,0.0,tier_fs,60010727.14,3871993,555118,1456473,6811147,8252324,8819730,,,,,tier_fs,,
2026-08-31T19:03:40.533355+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,per-block,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,per-block/no-prefetch,512.0,5457182,23608,0.0,oracle,51968919.33,4651616,615659,922754,6504702,922754,1367975,5454174,615659,922754,62.033,tier_fs,13.401,MARGINAL
2026-08-31T19:06:22.433949+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,prefix,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,prefix/no-prefetch,512.0,5457182,23608,-2.242,full_gpu,63406541.2,3871993,0,0,8822738,0,0,,,,,tier_fs,,
2026-08-31T19:06:22.434064+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,prefix,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,prefix/no-prefetch,512.0,5457182,23608,-2.242,cpu_lru,61190427.02,3871993,555118,0,8267620,0,8819730,,,,,tier_fs,,
2026-08-31T19:06:22.434090+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,prefix,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,prefix/no-prefetch,512.0,5457182,23608,-2.242,cpu_arc,60651852.52,4464000,3559,0,8227172,0,8227723,,,,,tier_fs,,
2026-08-31T19:06:22.434110+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,prefix,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,prefix/no-prefetch,512.0,5457182,23608,-2.242,tier_fs,60010727.14,3871993,555118,1456473,6811147,8252324,8819730,,,,,tier_fs,,
2026-08-31T19:06:22.434129+08:00,6501da0a,trace:toolagent,llama-bf16,nvme,48128,24.0,prefix,0,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,semantics,prefix/no-prefetch,512.0,5457182,23608,-2.242,oracle,53314229.97,4651616,615659,1970170,5457286,1970170,1367975,5454174,615659,1970170,62.033,tier_fs,11.159,MARGINAL
