ts,sim_version,trace,ssd_gib,ssd_blocks,ssd_covers_working_set_pct,working_set_tib,device_total_tib,fs_root,device_free_gib,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,evict_free,evict_to_cpu,evict_to_ssd,ssd_writes,cpu_writes,trace_duration_s,ssd_write_mibps,device_write_mibps_sustained,best_baseline,oracle_headroom_pct,verdict,model_profile,gpu_budget_tokens,cpu_budget_gib,unique_blocks,lookup,prefetch,oracle_dest,device,cost_model
2026-08-31T17:14:29.808782+08:00,ef1fc3a6,toolagent,0.0,0,0.0,10.41,3.58,/home/hungwei,432.9,full_gpu,63406541.2,3871993,0,0,8822738,,,,0,0,3537.0,0.0,2512.0,cpu_arc,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:14:29.809086+08:00,ef1fc3a6,toolagent,0.0,0,0.0,10.41,3.58,/home/hungwei,432.9,cpu_lru,60911564.84,3871993,555118,0,8267620,,,,0,8819730,3537.0,0.0,2512.0,cpu_arc,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:14:29.809147+08:00,ef1fc3a6,toolagent,0.0,0,0.0,10.41,3.58,/home/hungwei,432.9,cpu_arc,60650773.58,4464000,3559,0,8227172,,,,0,8227723,3537.0,0.0,2512.0,cpu_arc,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:14:29.809177+08:00,ef1fc3a6,toolagent,0.0,0,0.0,10.41,3.58,/home/hungwei,432.9,oracle,55645104.8,4651616,615659,0,7427456,5454174,615659,0,0,1367975,3537.0,0.0,2512.0,cpu_arc,8.253,MARGINAL,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:17:06.589032+08:00,ef1fc3a6,toolagent,32.0,16384,0.3,10.41,3.58,/home/hungwei,432.9,full_gpu,63406541.2,3871993,0,0,8822738,,,,0,0,3537.0,0.0,2512.0,cpu_arc,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:17:06.589196+08:00,ef1fc3a6,toolagent,32.0,16384,0.3,10.41,3.58,/home/hungwei,432.9,cpu_lru,60911564.84,3871993,555118,0,8267620,,,,0,8819730,3537.0,0.0,2512.0,cpu_arc,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:17:06.589231+08:00,ef1fc3a6,toolagent,32.0,16384,0.3,10.41,3.58,/home/hungwei,432.9,cpu_arc,60650773.58,4464000,3559,0,8227172,,,,0,8227723,3537.0,0.0,2512.0,cpu_arc,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:17:06.589259+08:00,ef1fc3a6,toolagent,32.0,16384,0.3,10.41,3.58,/home/hungwei,432.9,tier_fs,60834884.26,3871993,555118,39520,8228100,,,,8252324,8819730,3537.0,4666.3,2512.0,cpu_arc,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:17:06.589286+08:00,ef1fc3a6,toolagent,32.0,16384,0.3,10.41,3.58,/home/hungwei,432.9,oracle,54651970.57,4651616,615659,214749,7212707,5454174,615659,214897,536439,1367975,3537.0,303.3,2512.0,cpu_arc,9.891,MARGINAL,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:19:50.892009+08:00,ef1fc3a6,toolagent,128.0,65536,1.2,10.41,3.58,/home/hungwei,432.9,full_gpu,63406541.2,3871993,0,0,8822738,,,,0,0,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
