run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,workload,label_mode,sample_rate,data_seed,feature_groups,test_trace,loss,threshold_rule,pos_lo,pos_hi,kappa_median,p_star_median,positive_rate,n,cm_drop_correct,cm_drop_wrong,cm_keep_correct,cm_keep_wrong,precision_drop,recall_drop,drop_rate,err_rate,fn_rate,fp_rate,cost_ms,cost_ms_fn,cost_ms_fp,cost_us_per_decision
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.5,0,4096,11.98,0.077,0.6089,407920,158493,76,248314,1037,0.9995,0.9935,0.3887,0.0027,0.0002,0.0025,577.9,268.36,309.54,1.417
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.5,4096,8192,14.21,0.0657,0.3982,231913,139516,53,92306,38,0.9996,0.9997,0.6018,0.0004,0.0002,0.0002,246.33,234.99,11.34,1.062
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.5,8192,16384,17.76,0.0533,0.0,136556,136556,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.5,16384,32768,24.12,0.0398,0.0,103773,103773,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.5,32768,65536,37.19,0.0262,0.0,57231,57231,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.5,65536,131072,59.0,0.0167,0.0,13501,13501,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,p_star,0,4096,11.98,0.077,0.6089,407920,158477,76,248314,1053,0.9995,0.9934,0.3887,0.0028,0.0002,0.0026,582.67,268.36,314.31,1.428
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,p_star,4096,8192,14.21,0.0657,0.3982,231913,139516,53,92306,38,0.9996,0.9997,0.6018,0.0004,0.0002,0.0002,246.33,234.99,11.34,1.062
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,p_star,8192,16384,17.76,0.0533,0.0,136556,136556,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,p_star,16384,32768,24.12,0.0398,0.0,103773,103773,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
