run_id,ts,sim_version,trace,model_profile,device,segment,first_request,requests,accesses,gpu_blocks,cpu_gib,ssd_gib,lookup,prefetch,drop_cost_rule,ordering,tie_width,tier_order,precision,downgrades,workload,decode,window_accesses,features_run,train_run,policy,total_ms,prefill_ms,decode_ms,gpu_hits,cpu_hits,ssd_hits,recompute,cpu_writes,ssd_writes,ssd_write_mibps,write_feasible,device_write_mibps,best_baseline,vs_best_baseline_pct,oracle_headroom_pct,headroom_captured_pct
20260905-214425-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:25.162862+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,off,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,full_gpu,3925649.23,3925649.23,0.0,114688,0,0,252932,0,0,,,2512.0,tier_fs,-104.995,18.813,-558.11
20260905-214425-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:25.162930+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,off,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_lru,2433004.99,2433004.99,0.0,114688,98304,0,154628,235815,0,,,2512.0,tier_fs,-27.05,18.813,-143.79
20260905-214425-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:25.162954+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,off,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_arc,2557392.01,2557392.01,0.0,106903,97897,0,162820,239260,0,,,2512.0,tier_fs,-33.546,18.813,-178.31
20260905-214425-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:25.162978+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,off,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tier_fs,1914996.27,1914996.27,0.0,114688,98304,65536,89092,235815,109425,,,2512.0,tier_fs,0.0,18.813,0.0
20260905-214425-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:25.163003+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,off,0,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tiara_sym_l2,1620127.53,1620127.53,0.0,146406,106187,25935,89092,134784,69824,,,2512.0,tier_fs,15.398,18.813,81.85
20260905-214425-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:25.163027+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,off,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,oracle,1554736.24,1554736.24,0.0,175697,90690,12141,89092,98882,12141,,,2512.0,tier_fs,18.813,18.813,
20260905-214433-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:33.504226+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,full_gpu,3925649.23,3925649.23,0.0,114688,0,0,252932,0,0,,,2512.0,tier_fs,-104.995,18.813,-558.11
20260905-214433-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:33.504322+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_lru,2433004.99,2433004.99,0.0,114688,98304,0,154628,235815,0,,,2512.0,tier_fs,-27.05,18.813,-143.79
20260905-214433-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:33.504347+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_arc,2557392.01,2557392.01,0.0,106903,97897,0,162820,239260,0,,,2512.0,tier_fs,-33.546,18.813,-178.31
20260905-214433-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:33.504365+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tier_fs,1914996.27,1914996.27,0.0,114688,98304,65536,89092,235815,109425,,,2512.0,tier_fs,0.0,18.813,0.0
20260905-214433-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:33.504382+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,204097,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tiara_sym_l2_int8,1620127.53,1620127.53,0.0,146406,106187,25935,89092,134784,69824,,,2512.0,tier_fs,15.398,18.813,81.85
20260905-214433-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:33.504397+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,oracle,1554736.24,1554736.24,0.0,175697,90690,12141,89092,98882,12141,,,2512.0,tier_fs,18.813,18.813,
20260905-214454-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:54.666334+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,full_gpu,9733835.75,9733835.75,0.0,376832,0,0,625768,0,0,,,2512.0,tier_fs,-155.763,34.666,-449.32
20260905-214454-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:54.666427+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_lru,5007128.98,5007128.98,0.0,376832,311296,0,314472,608651,0,,,2512.0,tier_fs,-31.566,34.666,-91.06
20260905-214454-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:54.666456+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_arc,5129593.99,5129593.99,0.0,310115,370310,0,322175,675368,0,,,2512.0,tier_fs,-34.783,34.666,-100.34
20260905-214454-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:54.666479+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tier_fs,3805803.22,3805803.22,0.0,376832,311296,204800,109672,608651,269269,,,2512.0,tier_fs,0.0,34.666,0.0
20260905-214454-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:54.666501+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,780019,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tiara_sym_l2_int8,4419844.62,4419844.62,0.0,205464,405331,282133,109672,437124,346602,,,2512.0,tier_fs,-16.134,34.666,-46.54
20260905-214454-m5p-policy-toolagent-qwen-awq,2026-09-05T21:44:54.666525+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,oracle,2486479.42,2486479.42,0.0,574777,257152,60999,109672,289626,60999,,,2512.0,tier_fs,34.666,34.666,
20260905-214553-m5p-policy-toolagent-qwen-awq,2026-09-05T21:45:53.196159+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,full_gpu,3925649.23,3925649.23,0.0,114688,0,0,252932,0,0,,,2512.0,tier_fs,-104.995,18.813,-558.11
20260905-214553-m5p-policy-toolagent-qwen-awq,2026-09-05T21:45:53.196235+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_lru,2433004.99,2433004.99,0.0,114688,98304,0,154628,235815,0,,,2512.0,tier_fs,-27.05,18.813,-143.79
20260905-214553-m5p-policy-toolagent-qwen-awq,2026-09-05T21:45:53.196261+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_arc,2557392.01,2557392.01,0.0,106903,97897,0,162820,239260,0,,,2512.0,tier_fs,-33.546,18.813,-178.31
20260905-214553-m5p-policy-toolagent-qwen-awq,2026-09-05T21:45:53.196281+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tier_fs,1914996.27,1914996.27,0.0,114688,98304,65536,89092,235815,109425,,,2512.0,tier_fs,0.0,18.813,0.0
20260905-214553-m5p-policy-toolagent-qwen-awq,2026-09-05T21:45:53.196298+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,260292,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tiara_sym_l2_int8,2259790.99,2259790.99,0.0,107328,79187,92013,89092,128299,119813,,,2512.0,tier_fs,-18.005,18.813,-95.71
20260905-214553-m5p-policy-toolagent-qwen-awq,2026-09-05T21:45:53.196315+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,oracle,1554736.24,1554736.24,0.0,175697,90690,12141,89092,98882,12141,,,2512.0,tier_fs,18.813,18.813,
20260905-214647-m5p-policy-toolagent-qwen-awq,2026-09-05T21:46:47.221713+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,full_gpu,3925649.23,3925649.23,0.0,114688,0,0,252932,0,0,,,2512.0,tier_fs,-104.995,18.813,-558.11
20260905-214647-m5p-policy-toolagent-qwen-awq,2026-09-05T21:46:47.221797+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_lru,2433004.99,2433004.99,0.0,114688,98304,0,154628,235815,0,,,2512.0,tier_fs,-27.05,18.813,-143.79
20260905-214647-m5p-policy-toolagent-qwen-awq,2026-09-05T21:46:47.221824+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_arc,2557392.01,2557392.01,0.0,106903,97897,0,162820,239260,0,,,2512.0,tier_fs,-33.546,18.813,-178.31
20260905-214647-m5p-policy-toolagent-qwen-awq,2026-09-05T21:46:47.221843+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tier_fs,1914996.27,1914996.27,0.0,114688,98304,65536,89092,235815,109425,,,2512.0,tier_fs,0.0,18.813,0.0
20260905-214647-m5p-policy-toolagent-qwen-awq,2026-09-05T21:46:47.221861+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,204154,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tiara_sym_l2_int8,1620188.53,1620188.53,0.0,146363,106188,25977,89092,134785,69853,,,2512.0,tier_fs,15.395,18.813,81.83
20260905-214647-m5p-policy-toolagent-qwen-awq,2026-09-05T21:46:47.221879+08:00,fbea1a98,lc128kz,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,oracle,1554736.24,1554736.24,0.0,175697,90690,12141,89092,98882,12141,,,2512.0,tier_fs,18.813,18.813,
20260905-214727-m5p-policy-toolagent-qwen-awq,2026-09-05T21:47:27.693805+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,full_gpu,9733835.75,9733835.75,0.0,376832,0,0,625768,0,0,,,2512.0,tier_fs,-155.763,34.666,-449.32
20260905-214727-m5p-policy-toolagent-qwen-awq,2026-09-05T21:47:27.693928+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_lru,5007128.98,5007128.98,0.0,376832,311296,0,314472,608651,0,,,2512.0,tier_fs,-31.566,34.666,-91.06
20260905-214727-m5p-policy-toolagent-qwen-awq,2026-09-05T21:47:27.693962+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_arc,5129593.99,5129593.99,0.0,310115,370310,0,322175,675368,0,,,2512.0,tier_fs,-34.783,34.666,-100.34
20260905-214727-m5p-policy-toolagent-qwen-awq,2026-09-05T21:47:27.693999+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tier_fs,3805803.22,3805803.22,0.0,376832,311296,204800,109672,608651,269269,,,2512.0,tier_fs,0.0,34.666,0.0
20260905-214727-m5p-policy-toolagent-qwen-awq,2026-09-05T21:47:27.694021+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,780108,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tiara_sym_l2_int8,4424788.84,4424788.84,0.0,205396,404719,282813,109672,436527,347263,,,2512.0,tier_fs,-16.264,34.666,-46.92
20260905-214727-m5p-policy-toolagent-qwen-awq,2026-09-05T21:47:27.694045+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,oracle,2486479.42,2486479.42,0.0,574777,257152,60999,109672,289626,60999,,,2512.0,tier_fs,34.666,34.666,
20260905-214814-m5p-policy-toolagent-qwen-awq,2026-09-05T21:48:14.078223+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,full_gpu,9733835.75,9733835.75,0.0,376832,0,0,625768,0,0,,,2512.0,tier_fs,-155.763,34.666,-449.32
20260905-214814-m5p-policy-toolagent-qwen-awq,2026-09-05T21:48:14.078311+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_lru,5007128.98,5007128.98,0.0,376832,311296,0,314472,608651,0,,,2512.0,tier_fs,-31.566,34.666,-91.06
20260905-214814-m5p-policy-toolagent-qwen-awq,2026-09-05T21:48:14.078344+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_arc,5129593.99,5129593.99,0.0,310115,370310,0,322175,675368,0,,,2512.0,tier_fs,-34.783,34.666,-100.34
20260905-214814-m5p-policy-toolagent-qwen-awq,2026-09-05T21:48:14.078369+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tier_fs,3805803.22,3805803.22,0.0,376832,311296,204800,109672,608651,269269,,,2512.0,tier_fs,0.0,34.666,0.0
20260905-214814-m5p-policy-toolagent-qwen-awq,2026-09-05T21:48:14.078392+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,780108,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tiara_sym_l2_int8,4424788.84,4424788.84,0.0,205396,404719,282813,109672,436527,347263,,,2512.0,tier_fs,-16.264,34.666,-46.92
20260905-214814-m5p-policy-toolagent-qwen-awq,2026-09-05T21:48:14.078414+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,oracle,2486479.42,2486479.42,0.0,574777,257152,60999,109672,289626,60999,,,2512.0,tier_fs,34.666,34.666,
20260905-214957-m5p-policy-toolagent-qwen-awq,2026-09-05T21:49:57.404183+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,full_gpu,9733835.75,9733835.75,0.0,376832,0,0,625768,0,0,,,2512.0,tier_fs,-155.763,34.666,-449.32
20260905-214957-m5p-policy-toolagent-qwen-awq,2026-09-05T21:49:57.404265+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_lru,5007128.98,5007128.98,0.0,376832,311296,0,314472,608651,0,,,2512.0,tier_fs,-31.566,34.666,-91.06
20260905-214957-m5p-policy-toolagent-qwen-awq,2026-09-05T21:49:57.404295+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,cpu_arc,5129593.99,5129593.99,0.0,310115,370310,0,322175,675368,0,,,2512.0,tier_fs,-34.783,34.666,-100.34
20260905-214957-m5p-policy-toolagent-qwen-awq,2026-09-05T21:49:57.404317+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tier_fs,3805803.22,3805803.22,0.0,376832,311296,204800,109672,608651,269269,,,2512.0,tier_fs,0.0,34.666,0.0
20260905-214957-m5p-policy-toolagent-qwen-awq,2026-09-05T21:49:57.404338+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,780108,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,tiara_sym_l2_int8,4424788.84,4424788.84,0.0,205396,404719,282813,109672,436527,347263,,,2512.0,tier_fs,-16.264,34.666,-46.92
20260905-214957-m5p-policy-toolagent-qwen-awq,2026-09-05T21:49:57.404359+08:00,fbea1a98,lc128kz,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,predicted,0.0,predicted,int8,,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-213151-m5p-train-lc128kz-qwen-awq,oracle,2486479.42,2486479.42,0.0,574777,257152,60999,109672,289626,60999,,,2512.0,tier_fs,34.666,34.666,
