run_id,ts,workload,trace,model_profile,window_accesses,window_mult,sample_rate,seed,label_mode,k_deltas,max_per_block,n_accesses,n_samples,n_dropped_tail,positive_rate,n_labeled_by_next_access,n_labeled_by_window,censored_pct,requests,unique_blocks,reuse_rate,gpu_blocks,median_len_tokens_sim,median_len_tokens_src,seconds,run_dir,x_dir,doc_tokens,n_docs,requests_arg,tail_frac,alpha,turns,sessions,long_frac,long_turns,concurrency
20260905-142724-m5p-feat-toolagent-qwen-awq,2026-09-05T14:29:16.179796+08:00,mooncake,toolagent,qwen-awq,17117,1.0,0.25,1234,censored,16,0,12694731,3169646,4274,0.3482,1105562,2068358,65.18,23608,5457182,0.5701,17117,6352.0,6346.0,108.0,/ssd7/hungwei/paper-hkv/runs/20260905-142724-m5p-feat-toolagent-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-142724-m5p-feat-toolagent-qwen-awq,,,,,,,,,,
20260905-142918-m5p-feat-conversation-qwen-awq,2026-09-05T14:30:28.901554+08:00,mooncake,conversation,qwen-awq,17117,1.0,0.25,1234,censored,16,0,9055233,2260727,4253,0.0431,97535,2167445,95.694,12031,5674025,0.3734,17117,6912,6909,69.8,/ssd7/hungwei/paper-hkv/runs/20260905-142918-m5p-feat-conversation-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-142918-m5p-feat-conversation-qwen-awq,,,,,,,,,,
20260905-143031-m5p-feat-lc128kz-qwen-awq,2026-09-05T14:30:42.960411+08:00,longctx-zipf,lc128kz,qwen-awq,17117,1.0,1.0,1234,censored,16,0,1002600,985483,17117,0.3574,352256,650344,64.255,120,109672,0.8906,17117,,,11.7,/ssd7/hungwei/paper-hkv/runs/20260905-143031-m5p-feat-lc128kz-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-143031-m5p-feat-lc128kz-qwen-awq,131072,12,120,0.02,0.9,,,,,
20260905-143044-m5p-feat-lc128kz-qwen-awq,2026-09-05T14:30:44.550258+08:00,longctx-zipf,lc128kz,qwen-awq,102702,6.0,1.0,1234,censored,16,0,1002600,899898,102702,0.7621,685849,214049,23.786,120,109672,0.8906,17117,,,0.4,/ssd7/hungwei/paper-hkv/runs/20260905-143044-m5p-feat-lc128kz-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-143031-m5p-feat-lc128kz-qwen-awq,131072,12,120,0.02,0.9,,,,,
20260905-143045-m5p-feat-lc128kz-qwen-awq,2026-09-05T14:30:46.116686+08:00,longctx-zipf,lc128kz,qwen-awq,102702,6.0,1.0,1234,uncensored,16,0,1002600,899898,102702,0.7621,685849,214049,23.786,120,109672,0.8906,17117,,,0.4,/ssd7/hungwei/paper-hkv/runs/20260905-143045-m5p-feat-lc128kz-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-143031-m5p-feat-lc128kz-qwen-awq,131072,12,120,0.02,0.9,,,,,
20260905-143047-m5p-feat-toolagent-qwen-awq,2026-09-05T14:30:52.361693+08:00,mooncake,toolagent,qwen-awq,68468,4.0,0.25,1234,censored,16,0,12694731,3156901,17019,0.3539,1117179,2039722,64.612,23608,5457182,0.5701,17117,6352.0,6346.0,4.8,/ssd7/hungwei/paper-hkv/runs/20260905-143047-m5p-feat-toolagent-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-142724-m5p-feat-toolagent-qwen-awq,,,,,,,,,,
20260905-143055-m5p-feat-toolagent-qwen-awq,2026-09-05T14:30:59.923098+08:00,mooncake,toolagent,qwen-awq,599095,35.0,0.25,1234,censored,16,0,12694731,3024068,149852,0.4871,1473011,1551057,51.29,23608,5457182,0.5701,17117,6352.0,6346.0,4.7,/ssd7/hungwei/paper-hkv/runs/20260905-143055-m5p-feat-toolagent-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-142724-m5p-feat-toolagent-qwen-awq,,,,,,,,,,
20260905-143102-m5p-feat-toolagent-qwen-awq,2026-09-05T14:31:07.477108+08:00,mooncake,toolagent,qwen-awq,17117,1.0,0.05,1234,censored,16,0,12694731,634681,850,0.3482,220971,413710,65.184,23608,5457182,0.5701,17117,6352.0,6346.0,4.7,/ssd7/hungwei/paper-hkv/runs/20260905-143102-m5p-feat-toolagent-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-142724-m5p-feat-toolagent-qwen-awq,,,,,,,,,,
20260905-143110-m5p-feat-toolagent-qwen-awq,2026-09-05T14:31:16.523146+08:00,mooncake,toolagent,qwen-awq,17117,1.0,1.0,1234,censored,16,0,12694731,12677614,17117,0.3484,4416547,8261067,65.163,23608,5457182,0.5701,17117,6352.0,6346.0,6.3,/ssd7/hungwei/paper-hkv/runs/20260905-143110-m5p-feat-toolagent-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-142724-m5p-feat-toolagent-qwen-awq,,,,,,,,,,
20260905-143119-m5p-feat-toolagent-qwen-awq,2026-09-05T14:31:24.547603+08:00,mooncake,toolagent,qwen-awq,17117,1.0,0.25,7,censored,16,0,12694731,3171455,4279,0.3481,1103991,2067464,65.19,23608,5457182,0.5701,17117,6352.0,6346.0,4.8,/ssd7/hungwei/paper-hkv/runs/20260905-143119-m5p-feat-toolagent-qwen-awq,/ssd7/hungwei/paper-hkv/runs/20260905-142724-m5p-feat-toolagent-qwen-awq,,,,,,,,,,
