run_id,ts,baseline,model_key,model,gpu,ctx,actual_prompt_tokens,round,prefix_idx,ttft_ms,tpot_ms,total_ms,gen_tokens,gpu_kv_cache_tokens,n_prefixes,caveat,concurrency_mode,quality_score,quality_metric,contaminated,guard_verdict,log,mode_source,host_contention,foreign_gpu_count,foreign_max_util
20260901-005121-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T01:14:25.846384+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,cold,0,1286524.398,76.394,1305775.809,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-005121-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
20260901-005121-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T01:14:47.123043+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,warm,0,1762.175,75.939,20974.766,254,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-005121-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
20260901-005121-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T01:37:08.103682+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,524288,524288,cold,0,,,1334964.886,0,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-005121-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
20260901-042554-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T04:48:44.422209+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,cold,0,1283930.169,75.714,1302934.362,252,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-042554-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-042554-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T04:49:06.206797+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,warm,0,2532.112,75.177,21476.786,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-042554-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-042554-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T05:10:42.650522+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,524288,524288,cold,0,,,1289676.11,0,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-042554-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-051645-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T05:38:46.243880+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,cold,0,1234788.311,74.652,1253600.736,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-051645-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-051645-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T05:39:07.682665+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,warm,0,2490.086,74.387,21161.205,252,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-051645-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-051645-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T06:00:53.641618+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,524288,524288,cold,0,,,1298426.982,0,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-051645-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-060656-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T06:29:05.490299+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,cold,0,1242972.056,74.592,1261843.879,254,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-060656-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
