ts,trace,gpu_budget_tokens,gpu_blocks,unique_blocks,accesses,requests,pressure_x,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,evict_free,evict_to_cpu,evict_to_ssd,evict_swap_cpu,evict_lost,evict_free_pct,best_baseline,oracle_headroom_pct,verdict,model_profile,lookup,prefetch,cpu_budget_gib,device,cost_model
2026-08-31T15:47:58.288732+08:00,toolagent,48128,3008,183300,409616,23608,60.938,full_gpu,1084078.47,145834,0,0,263782,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:47:58.288848+08:00,toolagent,48128,3008,183300,409616,23608,60.938,cpu_lru,869353.11,145834,55955,0,207827,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:47:58.288878+08:00,toolagent,48128,3008,183300,409616,23608,60.938,cpu_arc,869108.99,141605,60197,0,207814,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:47:58.288900+08:00,toolagent,48128,3008,183300,409616,23608,60.938,tier_fs,883393.35,145834,55955,24527,183300,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:47:58.288919+08:00,toolagent,48128,3008,183300,409616,23608,60.938,oracle,757343.92,211694,14622,0,183300,180292,14622,0,0,0,92.498,cpu_arc,12.86,MARGINAL_ASK_HUMAN,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:00.954133+08:00,toolagent,24064,1504,183300,409616,23608,121.875,full_gpu,1105253.52,140641,0,0,268975,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:00.954244+08:00,toolagent,24064,1504,183300,409616,23608,121.875,cpu_lru,881063.2,140641,58323,0,210652,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:00.954270+08:00,toolagent,24064,1504,183300,409616,23608,121.875,cpu_arc,880148.43,142415,56649,0,210552,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:00.954289+08:00,toolagent,24064,1504,183300,409616,23608,121.875,tier_fs,896363.36,140641,58323,27352,183300,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:00.954306+08:00,toolagent,24064,1504,183300,409616,23608,121.875,oracle,762738.27,192232,34084,0,183300,181796,34084,0,0,0,84.212,cpu_arc,13.34,MARGINAL_ASK_HUMAN,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:03.663923+08:00,toolagent,12032,752,183300,409616,23608,243.75,full_gpu,1112264.12,138926,0,0,270690,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:03.664043+08:00,toolagent,12032,752,183300,409616,23608,243.75,cpu_lru,889286.0,138926,58001,0,212689,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:03.664071+08:00,toolagent,12032,752,183300,409616,23608,243.75,cpu_arc,888742.11,140053,56926,0,212637,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:03.664092+08:00,toolagent,12032,752,183300,409616,23608,243.75,tier_fs,905665.76,138926,58001,29389,183300,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:03.664110+08:00,toolagent,12032,752,183300,409616,23608,243.75,oracle,767724.57,174410,51906,0,183300,182548,51906,0,0,0,77.861,cpu_arc,13.617,MARGINAL_ASK_HUMAN,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:06.300535+08:00,toolagent,6016,376,183300,409616,23608,487.5,full_gpu,1116668.27,137832,0,0,271784,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:06.300639+08:00,toolagent,6016,376,183300,409616,23608,487.5,cpu_lru,893172.46,137832,58093,0,213691,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:06.300663+08:00,toolagent,6016,376,183300,409616,23608,487.5,cpu_arc,893014.47,139577,56299,0,213740,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:06.300683+08:00,toolagent,6016,376,183300,409616,23608,487.5,tier_fs,909965.25,137832,58093,30391,183300,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:06.300701+08:00,toolagent,6016,376,183300,409616,23608,487.5,oracle,771704.09,160430,65886,0,183300,182924,65886,0,0,0,73.52,cpu_arc,13.584,MARGINAL_ASK_HUMAN,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:08.965671+08:00,toolagent,3008,188,183300,409616,23608,975.0,full_gpu,1136751.04,132839,0,0,276777,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:08.965783+08:00,toolagent,3008,188,183300,409616,23608,975.0,cpu_lru,895702.21,132839,62472,0,214305,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:08.965808+08:00,toolagent,3008,188,183300,409616,23608,975.0,cpu_arc,895113.58,139501,55826,0,214289,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:08.965829+08:00,toolagent,3008,188,183300,409616,23608,975.0,tier_fs,912907.51,132839,62472,31005,183300,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:08.965849+08:00,toolagent,3008,188,183300,409616,23608,975.0,oracle,774181.24,151241,75075,0,183300,183112,75075,0,0,0,70.922,cpu_arc,13.51,MARGINAL_ASK_HUMAN,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:11.624282+08:00,toolagent,1504,94,183300,409616,23608,1950.0,full_gpu,1187118.71,120320,0,0,289296,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:11.624389+08:00,toolagent,1504,94,183300,409616,23608,1950.0,cpu_lru,897269.83,120320,74698,0,214598,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:11.624415+08:00,toolagent,1504,94,183300,409616,23608,1950.0,cpu_arc,896704.76,138602,56416,0,214598,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:11.624436+08:00,toolagent,1504,94,183300,409616,23608,1950.0,tier_fs,914802.24,120320,74698,31298,183300,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:11.624453+08:00,toolagent,1504,94,183300,409616,23608,1950.0,oracle,775604.9,145383,80933,0,183300,183206,80933,0,0,0,69.36,cpu_arc,13.505,MARGINAL_ASK_HUMAN,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:14.347171+08:00,toolagent,752,47,183300,409616,23608,3900.0,full_gpu,1273798.68,98775,0,0,310841,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:14.347279+08:00,toolagent,752,47,183300,409616,23608,3900.0,cpu_lru,898806.46,98775,96044,0,214797,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:14.347306+08:00,toolagent,752,47,183300,409616,23608,3900.0,cpu_arc,897478.9,138591,56228,0,214797,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:14.347327+08:00,toolagent,752,47,183300,409616,23608,3900.0,tier_fs,916726.89,98775,96044,31497,183300,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
