run_id,ts,sim_version,trace,model_profile,device,segment,first_request,requests,accesses,gpu_blocks,cpu_gib,ssd_gib,lookup,prefetch,drop_cost_rule,workload,decode,window_accesses,features_run,train_run,policy,total_ms,prefill_ms,decode_ms,gpu_hits,cpu_hits,ssd_hits,recompute,cpu_writes,ssd_writes,ssd_write_mibps,write_feasible,device_write_mibps,best_baseline,vs_best_baseline_pct,oracle_headroom_pct,headroom_captured_pct
20260905-144040-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:40.160270+08:00,fbea1a98,toolagent,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,full_gpu,9733835.75,9733835.75,0.0,376832,0,0,625768,0,0,,,2512.0,tier_fs,-155.763,34.666,-449.32
20260905-144040-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:40.160381+08:00,fbea1a98,toolagent,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,cpu_lru,5007128.98,5007128.98,0.0,376832,311296,0,314472,608651,0,,,2512.0,tier_fs,-31.566,34.666,-91.06
20260905-144040-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:40.160408+08:00,fbea1a98,toolagent,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,cpu_arc,5129593.99,5129593.99,0.0,310115,370310,0,322175,675368,0,,,2512.0,tier_fs,-34.783,34.666,-100.34
20260905-144040-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:40.160432+08:00,fbea1a98,toolagent,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,tier_fs,3805803.22,3805803.22,0.0,376832,311296,204800,109672,608651,269269,,,2512.0,tier_fs,0.0,34.666,0.0
20260905-144040-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:40.160458+08:00,fbea1a98,toolagent,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,tiara_sym_l2,4419844.62,4419844.62,0.0,205464,405331,282133,109672,437124,346602,,,2512.0,tier_fs,-16.134,34.666,-46.54
20260905-144040-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:40.160478+08:00,fbea1a98,toolagent,qwen-awq,nvme,full,0,120,1002600,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,oracle,2486479.42,2486479.42,0.0,574777,257152,60999,109672,289626,60999,,,2512.0,tier_fs,34.666,34.666,
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583476+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,full_gpu,3925649.23,3925649.23,0.0,114688,0,0,252932,0,0,,,2512.0,tier_fs,-104.995,18.813,-558.11
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583546+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,cpu_lru,2433004.99,2433004.99,0.0,114688,98304,0,154628,235815,0,,,2512.0,tier_fs,-27.05,18.813,-143.79
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583570+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,cpu_arc,2557392.01,2557392.01,0.0,106903,97897,0,162820,239260,0,,,2512.0,tier_fs,-33.546,18.813,-178.31
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583588+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,tier_fs,1914996.27,1914996.27,0.0,114688,98304,65536,89092,235815,109425,,,2512.0,tier_fs,0.0,18.813,0.0
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583604+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,tiara_sym_l2,1620127.53,1620127.53,0.0,146406,106187,25935,89092,134784,69824,,,2512.0,tier_fs,15.398,18.813,81.85
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583621+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,tiara_cost_l2,1620834.42,1620834.42,0.0,146337,106187,26004,89092,134794,69893,,,2512.0,tier_fs,15.361,18.813,81.65
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583635+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,diag_true_ordering,1554736.24,1554736.24,0.0,175697,90690,12141,89092,144249,56030,,,2512.0,tier_fs,18.813,18.813,100.0
