ts,workload,semantics,lookup,prefetch,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,best_baseline,oracle_headroom_pct,verdict,model_profile,gpu_budget_tokens,cpu_budget_gib,unique_blocks,requests,device,seed,cost_model
2026-08-31T16:20:29.288900+08:00,trace:toolagent,per-block/no-prefetch,per-block,0,full_gpu,63406541.2,3871993,0,0,8822738,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:20:29.289132+08:00,trace:toolagent,per-block/no-prefetch,per-block,0,cpu_lru,61215560.75,3871993,555118,0,8267620,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:20:29.289165+08:00,trace:toolagent,per-block/no-prefetch,per-block,0,cpu_arc,60652013.66,4464000,3559,0,8227172,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:20:29.289186+08:00,trace:toolagent,per-block/no-prefetch,per-block,0,tier_fs,56479587.11,3871993,555118,2810438,5457182,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:20:29.289204+08:00,trace:toolagent,per-block/no-prefetch,per-block,0,oracle,51219083.33,4651616,615659,1164204,6263252,tier_fs,9.314,MARGINAL_ASK_HUMAN,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:22:09.438961+08:00,trace:toolagent,prefix/no-prefetch,prefix,0,full_gpu,63406541.2,3871993,0,0,8822738,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:22:09.439122+08:00,trace:toolagent,prefix/no-prefetch,prefix,0,cpu_lru,61215560.75,3871993,555118,0,8267620,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:22:09.439148+08:00,trace:toolagent,prefix/no-prefetch,prefix,0,cpu_arc,60652013.66,4464000,3559,0,8227172,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:22:09.439166+08:00,trace:toolagent,prefix/no-prefetch,prefix,0,tier_fs,56479587.11,3871993,555118,2810438,5457182,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:22:09.439184+08:00,trace:toolagent,prefix/no-prefetch,prefix,0,oracle,55505882.95,4651616,615659,47970,7379486,tier_fs,1.724,NO_GO,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:23:48.466174+08:00,trace:toolagent,per-block/prefetch,per-block,1,full_gpu,63406541.2,3871993,0,0,8822738,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:23:48.466332+08:00,trace:toolagent,per-block/prefetch,per-block,1,cpu_lru,60916062.89,3871993,555118,0,8267620,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:23:48.466358+08:00,trace:toolagent,per-block/prefetch,per-block,1,cpu_arc,60650866.71,4464000,3559,0,8227172,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T16:23:48.466377+08:00,trace:toolagent,per-block/prefetch,per-block,1,tier_fs,53311944.01,3871993,555118,2810438,5457182,tier_fs,,,llama-bf16,48128,24.0,5457182,23608,sata,1234,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
